transaction_id,transaction_date,customer_id,product_id,store_id,quantity,price_per_unit,total_amount
4,2023-05-21,CUST004,PROD010,STORE005,1,500,500
5,2023-05-06,CUST005,PROD003,STORE001,2,50,100
31,2023-05-23,CUST031,PROD014,STORE002,4,300,1200
37,2023-05-23,CUST037,PROD001,STORE003,3,25,75
48,2023-05-16,CUST048,PROD014,STORE004,3,300,900
56,2023-05-31,CUST056,PROD009,STORE002,3,300,900
67,2023-05-29,CUST067,PROD004,STORE003,4,300,1200
72,2023-05-23,CUST072,PROD015,STORE003,4,500,2000
81,2023-05-17,CUST081,PROD013,STORE002,1,50,50
90,2023-05-06,CUST090,PROD012,STORE001,1,30,30
94,2023-05-19,CUST094,PROD005,STORE005,2,500,1000
106,2023-05-18,CUST106,PROD008,STORE002,1,50,50
118,2023-05-16,CUST118,PROD015,STORE004,4,500,2000
120,2023-05-07,CUST120,PROD003,STORE001,1,50,50
123,2023-05-15,CUST123,PROD012,STORE004,2,30,60
148,2023-05-09,CUST148,PROD007,STORE004,2,30,60
155,2023-05-17,CUST155,PROD015,STORE001,4,500,2000
159,2023-05-31,CUST159,PROD008,STORE005,4,50,200
164,2023-05-15,CUST164,PROD005,STORE005,3,500,1500
188,2023-05-03,CUST188,PROD006,STORE004,3,25,75
190,2023-05-04,CUST190,PROD002,STORE001,3,30,90
203,2023-05-16,CUST203,PROD010,STORE004,2,500,1000
221,2023-05-07,CUST221,PROD004,STORE002,2,300,600
242,2023-05-02,CUST242,PROD006,STORE003,1,25,25
243,2023-05-23,CUST243,PROD014,STORE004,3,300,900
252,2023-05-05,CUST252,PROD014,STORE003,1,300,300
273,2023-05-08,CUST273,PROD003,STORE004,1,50,50
281,2023-05-23,CUST281,PROD005,STORE002,4,500,2000
283,2023-05-08,CUST283,PROD015,STORE004,1,500,500
293,2023-05-02,CUST293,PROD012,STORE004,3,30,90
305,2023-05-16,CUST305,PROD002,STORE001,1,30,30
307,2023-05-27,CUST307,PROD011,STORE003,2,25,50
337,2023-05-01,CUST337,PROD010,STORE003,1,500,500
341,2023-05-07,CUST341,PROD008,STORE002,4,50,200
353,2023-05-14,CUST353,PROD015,STORE004,1,500,500
357,2023-05-03,CUST357,PROD011,STORE003,3,25,75
358,2023-05-16,CUST358,PROD004,STORE004,1,300,300
376,2023-05-16,CUST376,PROD002,STORE002,1,30,30
380,2023-05-06,CUST380,PROD014,STORE001,2,300,600
382,2023-05-26,CUST382,PROD010,STORE003,2,500,1000
398,2023-05-16,CUST398,PROD009,STORE004,2,300,600
403,2023-05-20,CUST403,PROD009,STORE004,2,300,600
404,2023-05-25,CUST404,PROD015,STORE005,2,500,1000
411,2023-05-16,CUST411,PROD013,STORE002,4,50,200
414,2023-05-09,CUST414,PROD001,STORE005,4,25,100
419,2023-05-22,CUST419,PROD007,STORE005,3,30,90
425,2023-05-15,CUST425,PROD012,STORE001,4,30,120
452,2023-05-08,CUST452,PROD010,STORE003,3,500,1500
460,2023-05-02,CUST460,PROD003,STORE001,1,50,50
469,2023-05-08,CUST469,PROD001,STORE005,3,25,75
470,2023-05-17,CUST470,PROD010,STORE001,2,500,1000
489,2023-05-23,CUST489,PROD012,STORE005,1,30,30
491,2023-05-23,CUST491,PROD014,STORE002,3,300,900
501,2023-05-14,CUST501,PROD012,STORE002,2,30,60
504,2023-05-16,CUST504,PROD003,STORE005,3,50,150
518,2023-05-11,CUST518,PROD007,STORE004,1,30,30
561,2023-05-27,CUST561,PROD010,STORE002,4,500,2000
578,2023-05-26,CUST578,PROD007,STORE004,4,30,120
585,2023-05-01,CUST585,PROD006,STORE001,1,25,25
593,2023-05-06,CUST593,PROD012,STORE004,2,30,60
606,2023-05-05,CUST606,PROD013,STORE002,1,50,50
620,2023-05-08,CUST620,PROD011,STORE001,3,25,75
639,2023-05-13,CUST639,PROD003,STORE005,4,50,200
640,2023-05-07,CUST640,PROD012,STORE001,4,30,120
642,2023-05-22,CUST642,PROD006,STORE003,4,25,100
646,2023-05-03,CUST646,PROD007,STORE002,3,30,90
647,2023-05-21,CUST647,PROD010,STORE003,3,500,1500
651,2023-05-27,CUST651,PROD008,STORE002,3,50,150
652,2023-05-01,CUST652,PROD003,STORE003,2,50,100
653,2023-05-20,CUST653,PROD006,STORE004,3,25,75
694,2023-05-20,CUST694,PROD011,STORE005,2,25,50
721,2023-05-14,CUST721,PROD010,STORE002,1,500,500
729,2023-05-23,CUST729,PROD009,STORE005,4,300,1200
731,2023-05-10,CUST731,PROD010,STORE002,4,500,2000
744,2023-05-07,CUST744,PROD011,STORE005,1,25,25
749,2023-05-03,CUST749,PROD002,STORE005,1,30,30
758,2023-05-12,CUST758,PROD006,STORE004,4,25,100
779,2023-05-05,CUST779,PROD015,STORE005,2,500,1000
811,2023-05-19,CUST811,PROD001,STORE002,2,25,50
818,2023-05-18,CUST818,PROD015,STORE004,1,500,500
820,2023-05-06,CUST820,PROD013,STORE001,4,50,200
822,2023-05-23,CUST822,PROD003,STORE003,3,50,150
824,2023-05-05,CUST824,PROD007,STORE005,4,30,120
838,2023-05-13,CUST838,PROD014,STORE004,2,300,600
840,2023-05-24,CUST840,PROD006,STORE001,2,25,50
843,2023-05-22,CUST843,PROD005,STORE004,3,500,1500
849,2023-05-04,CUST849,PROD006,STORE005,2,25,50
853,2023-05-04,CUST853,PROD005,STORE004,2,500,1000
862,2023-05-31,CUST862,PROD014,STORE003,4,300,1200
866,2023-05-05,CUST866,PROD013,STORE002,1,50,50
881,2023-05-19,CUST881,PROD014,STORE002,1,300,300
883,2023-05-09,CUST883,PROD015,STORE004,1,500,500
895,2023-05-22,CUST895,PROD007,STORE001,4,30,120
899,2023-05-25,CUST899,PROD009,STORE005,2,300,600
911,2023-05-21,CUST911,PROD014,STORE002,3,300,900
915,2023-05-30,CUST915,PROD002,STORE001,3,30,90
923,2023-05-26,CUST923,PROD004,STORE004,3,300,900
930,2023-05-10,CUST930,PROD008,STORE001,4,50,200
946,2023-05-08,CUST946,PROD015,STORE002,4,500,2000
970,2023-05-16,CUST970,PROD015,STORE001,4,500,2000
974,2023-05-03,CUST974,PROD002,STORE005,1,30,30
985,2023-05-30,CUST985,PROD011,STORE001,2,25,50
988,2023-05-28,CUST988,PROD006,STORE004,3,25,75
990,2023-05-25,CUST990,PROD005,STORE001,2,500,1000
996,2023-05-16,CUST996,PROD008,STORE002,1,50,50
